,CUT,HOLD,HIKE
ADANIENT,5.151478124370458,13.011682055739183,0.0
ADANIPORTS,0.0,0.0,2.2619369890616114e-13
APOLLOHOSP,1.9671045149394162,1.05891572423973e-13,6.934655580986437e-14
ASIANPAINT,0.0,0.0,7.286736589833829e-14
AXISBANK,1.0512012978425279e-13,0.0,0.0
BAJAJ-AUTO,0.0,6.312258507625957e-14,0.0
BAJAJFINSV,0.0,3.1967248978982698e-15,0.0
BAJFINANCE,0.0,0.0,0.0
BHARTIARTL,0.0,37.61945261294851,1.8282800354692328e-13
BPCL,0.0,0.0,0.0
BRITANNIA,0.0,3.878921601926602e-14,21.675786068584006
CIPLA,5.723495096631133,1.0849235028116241e-13,3.6563238224935005e-14
COALINDIA,1.613017127202643e-13,3.361017027618427e-14,1.7106687445227173
DIVISLAB,0.0,25.393398345715546,0.0
DRREDDY,2.5865801706957616,0.0,1.0830227990159989e-13
EICHERMOT,0.0,7.321333701039713e-14,2.0521726751356206e-13
GRASIM,0.0,0.0,1.0381391041197408e-13
HCLTECH,0.0,0.0,0.0
HDFCBANK,0.0,0.0,1.5133964444863272e-13
HDFCLIFE,0.0,0.0,0.0
HEROMOTOCO,0.0,0.0,0.0
HINDALCO,0.0,0.0,1.3223536926275875e-14
HINDUNILVR,2.347714417817152e-13,1.6326644516950475e-14,1.4902934769313057e-13
ICICIBANK,3.410434759908003e-14,4.729353779895042e-14,0.0
INDUSINDBK,1.703882749695009e-13,0.0,0.0
INFY,0.0,4.1445458857458564e-14,0.0
ITC,1.075768751880406e-13,2.332048827249306e-14,58.53066488589855
JSWSTEEL,0.0,7.950157778353984e-15,0.0
KOTAKBANK,8.836067755483105e-15,4.27009101593743e-14,1.0551738356809592e-13
LT,1.5190798482913125e-13,4.3128152463563e-15,18.082880300995175
LTM,7.27548328276979,5.657793239770987e-14,0.0
M&M,0.0,1.0396376293199728e-13,0.0
MARUTI,1.0078968050040605e-13,3.2905362377649624e-14,1.266915947015433e-13
NESTLEIND,3.613776341891275e-14,6.297033909403994e-14,1.8435408299443824e-13
NTPC,1.3386187884849834e-14,1.406272541557378e-13,6.250278479325346e-14
ONGC,4.0600452176175797e-13,1.8655169475828136e-14,4.818153287870388e-13
POWERGRID,9.814978418619453e-14,21.7930949345247,1.4553341568521562e-13
RELIANCE,23.581997417097263,0.0,6.051640212347996e-13
SBILIFE,25.120782112256695,0.0,1.1423267656765656e-13
SBIN,1.2419721388940322e-13,4.761836541247043e-15,0.0
SUNPHARMA,0.0,2.1823720510718,0.0
TATACONSUM,28.5930792812392,4.648227447638993e-14,3.950078612919873e-15
TATASTEEL,1.487754009987245e-13,6.798973063728216e-14,0.0
TCS,3.206834029801687e-14,4.6025487103997836e-14,0.0
TECHM,0.0,1.543446603662696e-14,0.0
TITAN,0.0,2.8903277192411416e-14,0.0
TMPV,6.496440994493907e-13,0.0,1.1302151434609086e-13
ULTRACEMCO,6.684336101921662e-14,9.611322397370117e-15,0.0
UPL,0.0,0.0,1.7180761382994135e-15
WIPRO,0.0,4.7522056691688834e-14,0.0
