Ticker,Annual return (%),Annual vol (%),Sharpe ratio,Sortino ratio,Max drawdown (%),Hist VaR 95% (%),Hist VaR 99% (%),Hist CVaR 95% (%),Para VaR 95% (%)
BHARTIARTL,29.13,28.32,0.799,0.854,33.35,2.587,4.504,3.867,2.829
TATACONSUM,25.17,28.31,0.659,0.69,42.93,2.398,4.786,3.89,2.845
ADANIENT,38.45,51.07,0.625,0.602,71.35,3.803,8.351,7.399,5.16
APOLLOHOSP,24.99,31.86,0.58,0.619,39.42,2.714,5.155,4.332,3.214
SUNPHARMA,20.91,25.83,0.558,0.573,31.3,2.296,4.058,3.494,2.603
DIVISLAB,21.84,28.51,0.538,0.537,48.4,2.604,4.769,4.098,2.879
HCLTECH,20.73,26.51,0.537,0.549,34.72,2.403,4.408,3.738,2.675
BAJAJ-AUTO,20.62,26.3,0.537,0.537,42.31,2.363,3.798,3.618,2.654
TITAN,21.39,27.84,0.535,0.531,41.73,2.505,4.608,4.017,2.811
M&M,23.43,32.24,0.525,0.537,63.23,2.826,6.095,4.536,3.261
ICICIBANK,19.41,29.52,0.437,0.429,48.31,2.429,5.085,4.384,2.993
NTPC,18.12,27.69,0.42,0.422,45.64,2.535,4.029,3.761,2.808
POWERGRID,17.81,26.97,0.419,0.427,29.56,2.566,4.079,3.702,2.734
SBILIFE,17.62,26.91,0.413,0.405,46.84,2.34,4.224,3.819,2.729
LTM,19.6,32.53,0.403,0.411,49.43,3.022,5.413,4.637,3.305
GRASIM,18.39,29.77,0.399,0.389,57.1,2.732,4.744,4.302,3.024
JSWSTEEL,19.93,34.38,0.391,0.378,53.73,3.225,6.385,5.099,3.497
TATASTEEL,20.65,36.37,0.389,0.384,53.27,3.523,6.376,5.47,3.701
HINDALCO,20.63,37.88,0.373,0.363,60.07,3.751,6.525,5.531,3.858
SBIN,18.21,31.52,0.372,0.358,59.49,3.031,5.504,4.762,3.207
CIPLA,15.95,25.82,0.366,0.41,34.19,2.292,3.935,3.315,2.623
LT,16.5,27.32,0.366,0.365,54.44,2.267,4.676,3.867,2.777
BAJFINANCE,19.38,36.13,0.356,0.342,62.44,3.159,7.216,5.557,3.681
ULTRACEMCO,15.98,26.88,0.353,0.358,37.5,2.438,4.282,3.694,2.733
RELIANCE,16.32,27.9,0.352,0.363,45.09,2.335,4.021,3.754,2.837
EICHERMOT,17.28,30.85,0.35,0.354,45.06,2.985,5.161,4.423,3.14
ADANIPORTS,19.74,38.84,0.341,0.325,52.34,3.003,7.182,5.846,3.962
INFY,15.55,27.47,0.33,0.322,36.55,2.468,4.559,3.969,2.796
NESTLEIND,13.41,21.83,0.316,0.337,22.88,2.004,3.352,2.919,2.217
COALINDIA,16.03,30.48,0.313,0.317,55.22,2.985,4.621,4.251,3.107
BPCL,16.96,33.44,0.313,0.319,49.09,3.0,5.669,4.757,3.411
TECHM,15.32,29.18,0.302,0.293,46.57,2.731,4.889,4.249,2.974
BAJAJFINSV,16.45,33.71,0.295,0.289,58.57,2.873,5.677,4.831,3.441
DRREDDY,13.49,24.17,0.289,0.297,33.0,2.181,3.965,3.364,2.461
MARUTI,12.52,28.85,0.209,0.213,48.05,2.424,5.111,4.16,2.951
BRITANNIA,11.29,23.61,0.203,0.207,36.23,2.048,3.481,3.256,2.411
WIPRO,12.0,27.58,0.199,0.206,50.02,2.665,4.365,3.878,2.822
HEROMOTOCO,12.2,29.51,0.193,0.196,45.88,2.669,4.892,4.13,3.021
ASIANPAINT,10.94,24.83,0.179,0.176,39.04,2.31,4.411,3.627,2.54
ONGC,12.79,35.57,0.177,0.174,65.89,3.079,5.64,5.123,3.649
TCS,10.14,23.54,0.155,0.157,34.45,2.17,3.98,3.384,2.408
HDFCBANK,9.77,24.86,0.131,0.129,41.05,2.26,3.915,3.651,2.547
ITC,9.62,23.92,0.13,0.13,51.11,1.998,3.642,3.36,2.45
HDFCLIFE,9.74,29.04,0.112,0.113,46.19,2.42,4.571,4.091,2.982
AXISBANK,10.01,33.87,0.104,0.098,63.11,2.909,5.375,4.941,3.483
TMPV,10.89,47.24,0.093,0.089,72.36,3.978,7.567,6.674,4.87
KOTAKBANK,7.93,27.5,0.052,0.051,36.5,2.468,4.532,4.088,2.829
UPL,7.52,33.7,0.03,0.029,63.54,3.094,6.52,5.268,3.475
HINDUNILVR,5.12,22.33,-0.062,-0.066,30.46,1.974,3.692,3.046,2.303
INDUSINDBK,-8.68,47.13,-0.322,-0.306,83.37,3.8,8.151,7.113,4.938
